name	formula	exactmass	adduct	mz
CerP(t42:1)	C42H84NO7P	745.598541	[M+Na]+	768.5877617
CerP(d41:1)	C41H82NO6P	715.5879764	[M+Na]+	738.5771971
CerP(t41:1)	C41H82NO7P	731.582891	[M+Na]+	754.5721117
CerP(d40:1)	C40H80NO6P	701.5723263	[M+Na]+	724.561547
CerP(t40:1)	C40H80NO7P	717.5672409	[M+Na]+	740.5564616
CerP(d39:1)	C39H78NO6P	687.5566762	[M+Na]+	710.5458969
CerP(t39:1)	C39H78NO7P	703.5515909	[M+Na]+	726.5408116
CerP(d38:1)	C38H76NO6P	673.5410262	[M+Na]+	696.5302469
CerP(t38:1)	C38H76NO7P	689.5359408	[M+Na]+	712.5251615
CerP(d37:1)	C37H74NO6P	659.5253761	[M+Na]+	682.5145968
CerP(t37:1)	C37H74NO7P	675.5202907	[M+Na]+	698.5095114
CerP(d36:1)	C36H72NO6P	645.509726	[M+Na]+	668.4989467
CerP(t36:1)	C36H72NO7P	661.5046407	[M+Na]+	684.4938614
CerP(d35:1)	C35H70NO6P	631.494076	[M+Na]+	654.4832967
CerP(t35:1)	C35H70NO7P	647.4889906	[M+Na]+	670.4782113
CerP(d34:1)	C34H68NO6P	617.4784259	[M+Na]+	640.4676466
CerP(t34:1)	C34H68NO7P	633.4733405	[M+Na]+	656.4625612
CerP(d33:1)	C33H66NO6P	603.4627758	[M+Na]+	626.4519965
CerP(t33:1)	C33H66NO7P	619.4576905	[M+Na]+	642.4469112
CerP(d32:1)	C32H64NO6P	589.4471258	[M+Na]+	612.4363465
CerP(t32:1)	C32H64NO7P	605.4420404	[M+Na]+	628.4312611
CerP(d31:1)	C31H62NO6P	575.4314757	[M+Na]+	598.4206964
CerP(t31:1)	C31H62NO7P	591.4263903	[M+Na]+	614.415611
CerP(d30:1)	C30H60NO6P	561.4158257	[M+Na]+	584.4050464
CerP(t30:1)	C30H60NO7P	577.4107403	[M+Na]+	600.399961
CerP(d29:1)	C29H58NO6P	547.4001756	[M+Na]+	570.3893963
CerP(t29:1)	C29H58NO7P	563.3950902	[M+Na]+	586.3843109
HexCer(d47:1)	C53H103NO8	881.7683693	[M+H]+	882.7756457
HexCer(t47:1)	C53H103NO9	897.7632839	[M+H]+	898.7705604
HexCer(d46:1)	C52H101NO8	867.7527192	[M+H]+	868.7599957
HexCer(t46:1)	C52H101NO9	883.7476338	[M+H]+	884.7549103
HexCer(d45:1)	C51H99NO8	853.7370692	[M+H]+	854.7443456
HexCer(t45:1)	C51H99NO9	869.7319838	[M+H]+	870.7392602
HexCer(d44:1)	C50H97NO8	839.7214191	[M+H]+	840.7286955
HexCer(t44:1)	C50H97NO9	855.7163337	[M+H]+	856.7236102
HexCer(d43:1)	C49H95NO8	825.705769	[M+H]+	826.7130455
HexCer(t43:1)	C49H95NO9	841.7006836	[M+H]+	842.7079601
HexCer(d42:1)	C48H93NO8	811.690119	[M+H]+	812.6973954
HexCer(t42:1)	C48H93NO9	827.6850336	[M+H]+	828.69231
HexCer(d41:1)	C47H91NO8	797.6744689	[M+H]+	798.6817453
HexCer(t41:1)	C47H91NO9	813.6693835	[M+H]+	814.67666
HexCer(d40:1)	C46H89NO8	783.6588188	[M+H]+	784.6660953
HexCer(t40:1)	C46H89NO9	799.6537335	[M+H]+	800.6610099
HexCer(d39:1)	C45H87NO8	769.6431688	[M+H]+	770.6504452
HexCer(t39:1)	C45H87NO9	785.6380834	[M+H]+	786.6453598
HexCer(d38:1)	C44H85NO8	755.6275187	[M+H]+	756.6347952
HexCer(t38:1)	C44H85NO9	771.6224333	[M+H]+	772.6297098
HexCer(d37:1)	C43H83NO8	741.6118686	[M+H]+	742.6191451
HexCer(t37:1)	C43H83NO9	757.6067833	[M+H]+	758.6140597
HexCer(d36:1)	C42H81NO8	727.5962186	[M+H]+	728.603495
HexCer(t36:1)	C42H81NO9	743.5911332	[M+H]+	744.5984096
HexCer(d35:1)	C41H79NO8	713.5805685	[M+H]+	714.587845
HexCer(t35:1)	C41H79NO9	729.5754831	[M+H]+	730.5827596
HexCer(d34:1)	C40H77NO8	699.5649184	[M+H]+	700.5721949
HexCer(t34:1)	C40H77NO9	715.5598331	[M+H]+	716.5671095
HexCer(d33:1)	C39H75NO8	685.5492684	[M+H]+	686.5565448
HexCer(t33:1)	C39H75NO9	701.544183	[M+H]+	702.5514595
HexCer(d32:1)	C38H73NO8	671.5336183	[M+H]+	672.5408948
HexCer(t32:1)	C38H73NO9	687.5285329	[M+H]+	688.5358094
HexCer(d31:1)	C37H71NO8	657.5179683	[M+H]+	658.5252447
HexCer(t31:1)	C37H71NO9	673.5128829	[M+H]+	674.5201593
HexCer(d30:1)	C36H69NO8	643.5023182	[M+H]+	644.5095946
HexCer(t30:1)	C36H69NO9	659.4972328	[M+H]+	660.5045093
HexCer(d29:1)	C35H67NO8	629.4866681	[M+H]+	630.4939446
HexCer(t29:1)	C35H67NO9	645.4815827	[M+H]+	646.4888592
HexCer(d47:1)	C53H103NO8	881.7683693	[M+Na]+	904.75759
HexCer(t47:1)	C53H103NO9	897.7632839	[M+Na]+	920.7525046
HexCer(d46:1)	C52H101NO8	867.7527192	[M+Na]+	890.7419399
HexCer(t46:1)	C52H101NO9	883.7476338	[M+Na]+	906.7368545
HexCer(d45:1)	C51H99NO8	853.7370692	[M+Na]+	876.7262899
HexCer(t45:1)	C51H99NO9	869.7319838	[M+Na]+	892.7212045
HexCer(d44:1)	C50H97NO8	839.7214191	[M+Na]+	862.7106398
HexCer(t44:1)	C50H97NO9	855.7163337	[M+Na]+	878.7055544
HexCer(d43:1)	C49H95NO8	825.705769	[M+Na]+	848.6949897
HexCer(t43:1)	C49H95NO9	841.7006836	[M+Na]+	864.6899043
HexCer(d42:1)	C48H93NO8	811.690119	[M+Na]+	834.6793397
HexCer(t42:1)	C48H93NO9	827.6850336	[M+Na]+	850.6742543
HexCer(d41:1)	C47H91NO8	797.6744689	[M+Na]+	820.6636896
HexCer(t41:1)	C47H91NO9	813.6693835	[M+Na]+	836.6586042
HexCer(d40:1)	C46H89NO8	783.6588188	[M+Na]+	806.6480395
HexCer(t40:1)	C46H89NO9	799.6537335	[M+Na]+	822.6429542
HexCer(d39:1)	C45H87NO8	769.6431688	[M+Na]+	792.6323895
HexCer(t39:1)	C45H87NO9	785.6380834	[M+Na]+	808.6273041
HexCer(d38:1)	C44H85NO8	755.6275187	[M+Na]+	778.6167394
HexCer(t38:1)	C44H85NO9	771.6224333	[M+Na]+	794.611654
HexCer(d37:1)	C43H83NO8	741.6118686	[M+Na]+	764.6010893
HexCer(t37:1)	C43H83NO9	757.6067833	[M+Na]+	780.596004
HexCer(d36:1)	C42H81NO8	727.5962186	[M+Na]+	750.5854393
HexCer(t36:1)	C42H81NO9	743.5911332	[M+Na]+	766.5803539
HexCer(d35:1)	C41H79NO8	713.5805685	[M+Na]+	736.5697892
HexCer(t35:1)	C41H79NO9	729.5754831	[M+Na]+	752.5647038
HexCer(d34:1)	C40H77NO8	699.5649184	[M+Na]+	722.5541391
