id	lipid	formula	adduct	template_file
Lipid00184	PA(14:0_20:5)	C37H63O8P	NA	NA
Lipid00185	PA(14:0_20:4)	C37H65O8P	NA	NA
Lipid00186	PA(14:0_20:3)	C37H67O8P	NA	NA
Lipid00187	PA(14:0_20:2)	C37H69O8P	NA	NA
Lipid00188	PA(14:0_20:1)	C37H71O8P	NA	NA
Lipid00189	PA(14:0_20:0)	C37H73O8P	NA	NA
Lipid00190	PA(15:0_19:1)	C37H71O8P	NA	NA
Lipid00191	PA(15:0_19:0)	C37H73O8P	NA	NA
Lipid00192	PA(16:1_18:4)	C37H63O8P	NA	NA
Lipid00193	PA(16:1_18:3)	C37H65O8P	NA	NA
Lipid00194	PA(16:1_18:2)	C37H67O8P	NA	NA
Lipid00195	PA(16:1_18:1)	C37H69O8P	NA	NA
Lipid00196	PA(16:1_18:0)	C37H71O8P	NA	NA
Lipid00197	PA(16:0_18:4)	C37H65O8P	NA	NA
Lipid00198	PA(16:0_18:3)	C37H67O8P	NA	NA
Lipid00199	PA(16:0_18:2)	C37H69O8P	NA	NA
Lipid00200	PA(16:0_18:1)	C37H71O8P	NA	NA
Lipid00201	PA(16:0_18:0)	C37H73O8P	NA	NA
Lipid00202	PA(17:0_17:1)	C37H71O8P	NA	NA
Lipid00203	PA(17:0_17:0)	C37H73O8P	NA	NA
Lipid00204	PA(17:1_17:1)	C37H69O8P	NA	NA
Lipid00205	PA(13:0_20:5)	C36H61O8P	NA	NA
Lipid00206	PA(13:0_20:4)	C36H63O8P	NA	NA
Lipid00207	PA(13:0_20:3)	C36H65O8P	NA	NA
Lipid00208	PA(13:0_20:2)	C36H67O8P	NA	NA
Lipid00209	PA(13:0_20:1)	C36H69O8P	NA	NA
Lipid00210	PA(13:0_20:0)	C36H71O8P	NA	NA
Lipid00211	PA(14:0_19:1)	C36H69O8P	NA	NA
Lipid00212	PA(14:0_19:0)	C36H71O8P	NA	NA
Lipid00213	PA(15:0_18:4)	C36H63O8P	NA	NA
Lipid00214	PA(15:0_18:3)	C36H65O8P	NA	NA
Lipid00215	PA(15:0_18:2)	C36H67O8P	NA	NA
Lipid00216	PA(15:0_18:1)	C36H69O8P	NA	NA
Lipid00217	PA(15:0_18:0)	C36H71O8P	NA	NA
Lipid00218	PA(16:1_17:1)	C36H67O8P	NA	NA
Lipid00219	PA(16:1_17:0)	C36H69O8P	NA	NA
Lipid00220	PA(16:0_17:1)	C36H69O8P	NA	NA
Lipid00221	PA(16:0_17:0)	C36H71O8P	NA	NA
Lipid00222	PA(12:0_20:5)	C35H59O8P	NA	NA
Lipid00223	PA(12:0_20:4)	C35H61O8P	NA	NA
Lipid00224	PA(12:0_20:3)	C35H63O8P	NA	NA
Lipid00225	PA(12:0_20:2)	C35H65O8P	NA	NA
Lipid00226	PA(12:0_20:1)	C35H67O8P	NA	NA
Lipid00227	PA(12:0_20:0)	C35H69O8P	NA	NA
Lipid00228	PA(13:0_19:1)	C35H67O8P	NA	NA
Lipid00229	PA(13:0_19:0)	C35H69O8P	NA	NA
Lipid00230	PA(14:0_18:4)	C35H61O8P	NA	NA
Lipid00231	PA(14:0_18:3)	C35H63O8P	NA	NA
Lipid00232	PA(14:0_18:2)	C35H65O8P	NA	NA
Lipid00233	PA(14:0_18:1)	C35H67O8P	NA	NA
Lipid00234	PA(14:0_18:0)	C35H69O8P	NA	NA
Lipid00235	PA(15:0_17:1)	C35H67O8P	NA	NA
Lipid00236	PA(15:0_17:0)	C35H69O8P	NA	NA
Lipid00237	PA(16:1_16:1)	C35H65O8P	NA	NA
Lipid00238	PA(16:0_16:1)	C35H67O8P	NA	NA
