name	formula	exactmass	adduct	mz
PG(30:0)	C36H71O10P	694.4784855	[M-H]-	693.471209
PG(29:1)	C35H67O10P	678.4471854	[M-H]-	677.4399089
PG(29:0)	C35H69O10P	680.4628354	[M-H]-	679.455559
PG(28:1)	C34H65O10P	664.4315353	[M-H]-	663.4242588
PG(28:0)	C34H67O10P	666.4471854	[M-H]-	665.4399089
PG(27:0)	C33H65O10P	652.4315353	[M-H]-	651.4242588
PG(26:0)	C32H63O10P	638.4158852	[M-H]-	637.4086088
PG(25:0)	C31H61O10P	624.4002352	[M-H]-	623.3929587
PG(24:0)	C30H59O10P	610.3845851	[M-H]-	609.3773086
FATOH(16:0)	C16H34O	242.2609657	[M-H]-	241.2536893
FATOH(18:0)	C18H38O	270.2922658	[M-H]-	269.2849894
FATOH(20:0)	C20H42O	298.323566	[M-H]-	297.3162895
DHAP(12:0)	C15H29O7P	352.1650903	[M-H]-	351.1578138
DHAP(13:0)	C16H31O7P	366.1807403	[M-H]-	365.1734639
DHAP(14:0)	C17H33O7P	380.1963904	[M-H]-	379.1891139
DHAP(15:0)	C18H35O7P	394.2120405	[M-H]-	393.204764
DHAP(16:1)	C19H35O7P	406.2120405	[M-H]-	405.204764
DHAP(16:0)	C19H37O7P	408.2276905	[M-H]-	407.2204141
DHAP(17:1)	C20H37O7P	420.2276905	[M-H]-	419.2204141
DHAP(17:0)	C20H39O7P	422.2433406	[M-H]-	421.2360641
DHAP(18:4)	C21H33O7P	428.1963904	[M-H]-	427.1891139
DHAP(18:3)	C21H35O7P	430.2120405	[M-H]-	429.204764
DHAP(18:2)	C21H37O7P	432.2276905	[M-H]-	431.2204141
DHAP(18:1)	C21H39O7P	434.2433406	[M-H]-	433.2360641
DHAP(18:0)	C21H41O7P	436.2589907	[M-H]-	435.2517142
DHAP(19:1)	C22H41O7P	448.2589907	[M-H]-	447.2517142
DHAP(19:0)	C22H43O7P	450.2746407	[M-H]-	449.2673643
DHAP(20:5)	C23H35O7P	454.2120405	[M-H]-	453.204764
DHAP(20:4)	C23H37O7P	456.2276905	[M-H]-	455.2204141
DHAP(20:3)	C23H39O7P	458.2433406	[M-H]-	457.2360641
DHAP(20:2)	C23H41O7P	460.2589907	[M-H]-	459.2517142
DHAP(20:1)	C23H43O7P	462.2746407	[M-H]-	461.2673643
DHAP(20:0)	C23H45O7P	464.2902908	[M-H]-	463.2830143
DHAP(22:0)	C25H49O7P	492.3215909	[M-H]-	491.3143145
DHAP(O-16:0)	C19H39O6P	394.248426	[M-H]-	393.2411495
DHAP(O-18:0)	C21H43O6P	422.2797261	[M-H]-	421.2724497
DHAP(O-20:0)	C23H47O6P	450.3110262	[M-H]-	449.3037498
PA(O-20:0)	C23H49O6P	452.3266763	[M-H]-	451.3193998
PA(O-18:0)	C21H45O6P	424.2953762	[M-H]-	423.2880997
PA(O-16:0)	C19H41O6P	396.264076	[M-H]-	395.2567996
PA(O-42:0)	C45H91O7P	774.6502423	[M-H]-	773.6429658
PA(O-40:5)	C43H77O7P	736.5406918	[M-H]-	735.5334154
PA(O-40:4)	C43H79O7P	738.5563419	[M-H]-	737.5490654
PA(O-40:3)	C43H81O7P	740.5719919	[M-H]-	739.5647155
PA(O-40:2)	C43H83O7P	742.587642	[M-H]-	741.5803656
PA(O-40:1)	C43H85O7P	744.6032921	[M-H]-	743.5960156
PA(O-40:0)	C43H87O7P	746.6189421	[M-H]-	745.6116657
PA(O-39:1)	C42H83O7P	730.587642	[M-H]-	729.5803656
PA(O-39:0)	C42H85O7P	732.6032921	[M-H]-	731.5960156
PA(O-38:4)	C41H75O7P	710.5250418	[M-H]-	709.5177653
PA(O-38:3)	C41H77O7P	712.5406918	[M-H]-	711.5334154
PA(O-38:2)	C41H79O7P	714.5563419	[M-H]-	713.5490654
PA(O-38:1)	C41H81O7P	716.5719919	[M-H]-	715.5647155
PA(O-38:0)	C41H83O7P	718.587642	[M-H]-	717.5803656
PA(O-38:5)	C41H73O7P	708.5093917	[M-H]-	707.5021152
PA(O-37:1)	C40H79O7P	702.5563419	[M-H]-	701.5490654
PA(O-37:0)	C40H81O7P	704.5719919	[M-H]-	703.5647155
PA(O-36:1)	C39H77O7P	688.5406918	[M-H]-	687.5334154
PA(O-36:0)	C39H79O7P	690.5563419	[M-H]-	689.5490654
PA(O-36:4)	C39H71O7P	682.4937416	[M-H]-	681.4864652
PA(O-36:3)	C39H73O7P	684.5093917	[M-H]-	683.5021152
PA(O-36:2)	C39H75O7P	686.5250418	[M-H]-	685.5177653
PA(O-36:5)	C39H69O7P	680.4780916	[M-H]-	679.4708151
PA(O-35:0)	C38H77O7P	676.5406918	[M-H]-	675.5334154
PA(O-35:1)	C38H75O7P	674.5250418	[M-H]-	673.5177653
PA(O-34:0)	C37H75O7P	662.5250418	[M-H]-	661.5177653
PA(O-34:1)	C37H73O7P	660.5093917	[M-H]-	659.5021152
PA(O-34:4)	C37H67O7P	654.4624415	[M-H]-	653.455165
PA(O-34:3)	C37H69O7P	656.4780916	[M-H]-	655.4708151
PA(O-34:2)	C37H71O7P	658.4937416	[M-H]-	657.4864652
PA(O-33:0)	C36H73O7P	648.5093917	[M-H]-	647.5021152
PA(O-33:1)	C36H71O7P	646.4937416	[M-H]-	645.4864652
PA(O-32:0)	C35H71O7P	634.4937416	[M-H]-	633.4864652
PA(O-32:1)	C35H69O7P	632.4780916	[M-H]-	631.4708151
PA(O-31:0)	C34H69O7P	620.4780916	[M-H]-	619.4708151
PA(O-30:0)	C33H67O7P	606.4624415	[M-H]-	605.455165
PA(O-29:0)	C32H65O7P	592.4467914	[M-H]-	591.439515
PA(O-28:0)	C31H63O7P	578.4311414	[M-H]-	577.4238649
PE(O-42:0)	C47H96NO7P	817.6924414	[M-H]-	816.685165
PE(O-40:5)	C45H82NO7P	779.582891	[M-H]-	778.5756145
PE(O-40:4)	C45H84NO7P	781.598541	[M-H]-	780.5912646
PE(O-40:3)	C45H86NO7P	783.6141911	[M-H]-	782.6069147
PE(O-40:2)	C45H88NO7P	785.6298412	[M-H]-	784.6225647
PE(O-40:1)	C45H90NO7P	787.6454912	[M-H]-	786.6382148
PE(O-40:0)	C45H92NO7P	789.6611413	[M-H]-	788.6538649
PE(O-39:1)	C44H88NO7P	773.6298412	[M-H]-	772.6225647
PE(O-39:0)	C44H90NO7P	775.6454912	[M-H]-	774.6382148
PE(O-38:4)	C43H80NO7P	753.5672409	[M-H]-	752.5599645
PE(O-38:3)	C43H82NO7P	755.582891	[M-H]-	754.5756145
PE(O-38:2)	C43H84NO7P	757.598541	[M-H]-	756.5912646
PE(O-38:1)	C43H86NO7P	759.6141911	[M-H]-	758.6069147
PE(O-38:0)	C43H88NO7P	761.6298412	[M-H]-	760.6225647
PE(O-38:5)	C43H78NO7P	751.5515909	[M-H]-	750.5443144
PE(O-37:1)	C42H84NO7P	745.598541	[M-H]-	744.5912646
PE(O-37:0)	C42H86NO7P	747.6141911	[M-H]-	746.6069147
PE(O-36:1)	C41H82NO7P	731.582891	[M-H]-	730.5756145
PE(O-36:0)	C41H84NO7P	733.598541	[M-H]-	732.5912646
PE(O-36:4)	C41H76NO7P	725.5359408	[M-H]-	724.5286643
PE(O-36:3)	C41H78NO7P	727.5515909	[M-H]-	726.5443144
PE(O-36:2)	C41H80NO7P	729.5672409	[M-H]-	728.5599645
PE(O-36:5)	C41H74NO7P	723.5202907	[M-H]-	722.5130143
PE(O-35:0)	C40H82NO7P	719.582891	[M-H]-	718.5756145
PE(O-35:1)	C40H80NO7P	717.5672409	[M-H]-	716.5599645
PE(O-34:0)	C39H80NO7P	705.5672409	[M-H]-	704.5599645
PE(O-34:1)	C39H78NO7P	703.5515909	[M-H]-	702.5443144
PE(O-34:4)	C39H72NO7P	697.5046407	[M-H]-	696.4973642
PE(O-34:3)	C39H74NO7P	699.5202907	[M-H]-	698.5130143
PE(O-34:2)	C39H76NO7P	701.5359408	[M-H]-	700.5286643
PE(O-33:0)	C38H78NO7P	691.5515909	[M-H]-	690.5443144
PE(O-33:1)	C38H76NO7P	689.5359408	[M-H]-	688.5286643
PE(O-32:0)	C37H76NO7P	677.5359408	[M-H]-	676.5286643
PE(O-32:1)	C37H74NO7P	675.5202907	[M-H]-	674.5130143
PE(O-31:0)	C36H74NO7P	663.5202907	[M-H]-	662.5130143
PE(O-30:0)	C35H72NO7P	649.5046407	[M-H]-	648.4973642
PE(O-29:0)	C34H70NO7P	635.4889906	[M-H]-	634.4817141
PE(O-28:0)	C33H68NO7P	621.4733405	[M-H]-	620.4660641
PE(O-20:0)	C25H54NO6P	495.3688755	[M-H]-	494.361599
PE(O-18:0)	C23H50NO6P	467.3375753	[M-H]-	466.3302989
PE(O-16:0)	C21H46NO6P	439.3062752	[M-H]-	438.2989988
PE(O-20:1)	C25H52NO6P	493.3532254	[M-H]-	492.3459489
PE(O-18:1)	C23H48NO6P	465.3219253	[M-H]-	464.3146488
PE(O-16:1)	C21H44NO6P	437.2906251	[M-H]-	436.2833487
PE(O-42:1)	C47H94NO7P	815.6767914	[M-H]-	814.6695149
PE(O-40:6)	C45H80NO7P	777.5672409	[M-H]-	776.5599645
PE(O-39:2)	C44H86NO7P	771.6141911	[M-H]-	770.6069147
PE(O-38:6)	C43H76NO7P	749.5359408	[M-H]-	748.5286643
PE(O-37:2)	C42H82NO7P	743.582891	[M-H]-	742.5756145
PE(O-36:6)	C41H72NO7P	721.5046407	[M-H]-	720.4973642
PE(O-35:2)	C40H78NO7P	715.5515909	[M-H]-	714.5443144
PE(O-34:5)	C39H70NO7P	695.4889906	[M-H]-	694.4817141
PE(O-33:2)	C38H74NO7P	687.5202907	[M-H]-	686.5130143
PE(O-32:2)	C37H72NO7P	673.5046407	[M-H]-	672.4973642
PE(O-31:1)	C36H72NO7P	661.5046407	[M-H]-	660.4973642
PE(O-30:1)	C35H70NO7P	647.4889906	[M-H]-	646.4817141
PE(O-29:1)	C34H68NO7P	633.4733405	[M-H]-	632.4660641
PE(O-28:1)	C33H66NO7P	619.4576905	[M-H]-	618.450414
PC(O-42:0)	C50H102NO7P	859.7393916	[M+FA-H]-	904.7375945
PC(O-40:5)	C48H88NO7P	821.6298412	[M+FA-H]-	866.628044
PC(O-40:4)	C48H90NO7P	823.6454912	[M+FA-H]-	868.6436941
PC(O-40:3)	C48H92NO7P	825.6611413	[M+FA-H]-	870.6593442
PC(O-40:2)	C48H94NO7P	827.6767914	[M+FA-H]-	872.6749942
PC(O-40:1)	C48H96NO7P	829.6924414	[M+FA-H]-	874.6906443
PC(O-40:0)	C48H98NO7P	831.7080915	[M+FA-H]-	876.7062944
PC(O-39:1)	C47H94NO7P	815.6767914	[M+FA-H]-	860.6749942
PC(O-39:0)	C47H96NO7P	817.6924414	[M+FA-H]-	862.6906443
PC(O-38:4)	C46H86NO7P	795.6141911	[M+FA-H]-	840.612394
PC(O-38:3)	C46H88NO7P	797.6298412	[M+FA-H]-	842.628044
PC(O-38:2)	C46H90NO7P	799.6454912	[M+FA-H]-	844.6436941
PC(O-38:1)	C46H92NO7P	801.6611413	[M+FA-H]-	846.6593442
PC(O-38:0)	C46H94NO7P	803.6767914	[M+FA-H]-	848.6749942
PC(O-38:5)	C46H84NO7P	793.598541	[M+FA-H]-	838.5967439
PC(O-37:1)	C45H90NO7P	787.6454912	[M+FA-H]-	832.6436941
PC(O-37:0)	C45H92NO7P	789.6611413	[M+FA-H]-	834.6593442
PC(O-36:1)	C44H88NO7P	773.6298412	[M+FA-H]-	818.628044
PC(O-36:0)	C44H90NO7P	775.6454912	[M+FA-H]-	820.6436941
PC(O-36:4)	C44H82NO7P	767.582891	[M+FA-H]-	812.5810938
PC(O-36:3)	C44H84NO7P	769.598541	[M+FA-H]-	814.5967439
PC(O-36:2)	C44H86NO7P	771.6141911	[M+FA-H]-	816.612394
PC(O-36:5)	C44H80NO7P	765.5672409	[M+FA-H]-	810.5654438
PC(O-35:0)	C43H88NO7P	761.6298412	[M+FA-H]-	806.628044
PC(O-35:1)	C43H86NO7P	759.6141911	[M+FA-H]-	804.612394
PC(O-34:0)	C42H86NO7P	747.6141911	[M+FA-H]-	792.612394
PC(O-34:1)	C42H84NO7P	745.598541	[M+FA-H]-	790.5967439
PC(O-34:4)	C42H78NO7P	739.5515909	[M+FA-H]-	784.5497937
