name	formula	smiles	inchi	inchikey	exactmass	adduct	mz
PC(36:5)	C44H78NO8P	"NA"	"NA"	"NA"	779.5465055	[M+H]+	780.5537815
PC(36:4)	C44H80NO8P	"NA"	"NA"	"NA"	781.5621555	[M+H]+	782.5694315000001
PC(36:3)	C44H82NO8P	"NA"	"NA"	"NA"	783.5778056	[M+H]+	784.5850816000001
PC(36:2)	C44H84NO8P	"NA"	"NA"	"NA"	785.5934557	[M+H]+	786.6007317000001
PC(36:1)	C44H86NO8P	"NA"	"NA"	"NA"	787.6091057	[M+H]+	788.6163817
PC(36:8)	C44H72NO8P	"NA"	"NA"	"NA"	773.4995553	[M+H]+	774.5068313
PC(36:7)	C44H74NO8P	"NA"	"NA"	"NA"	775.5152053	[M+H]+	776.5224813000001
PC(35:0)	C43H86NO8P	"NA"	"NA"	"NA"	775.6091057	[M+H]+	776.6163817
PC(35:5)	C43H76NO8P	"NA"	"NA"	"NA"	765.5308554	[M+H]+	766.5381314
PC(35:4)	C43H78NO8P	"NA"	"NA"	"NA"	767.5465055	[M+H]+	768.5537815
PC(35:3)	C43H80NO8P	"NA"	"NA"	"NA"	769.5621555	[M+H]+	770.5694315000001
PC(35:2)	C43H82NO8P	"NA"	"NA"	"NA"	771.5778056	[M+H]+	772.5850816000001
PC(35:1)	C43H84NO8P	"NA"	"NA"	"NA"	773.5934557	[M+H]+	774.6007317000001
PC(34:0)	C42H84NO8P	"NA"	"NA"	"NA"	761.5934557	[M+H]+	762.6007317000001
PC(34:5)	C42H74NO8P	"NA"	"NA"	"NA"	751.5152053	[M+H]+	752.5224813000001
PC(34:4)	C42H76NO8P	"NA"	"NA"	"NA"	753.5308554	[M+H]+	754.5381314
PC(34:3)	C42H78NO8P	"NA"	"NA"	"NA"	755.5465055	[M+H]+	756.5537815
PC(34:2)	C42H80NO8P	"NA"	"NA"	"NA"	757.5621555	[M+H]+	758.5694315000001
PC(34:1)	C42H82NO8P	"NA"	"NA"	"NA"	759.5778056	[M+H]+	760.5850816000001
PC(33:5)	C41H72NO8P	"NA"	"NA"	"NA"	737.4995553	[M+H]+	738.5068313
PC(33:4)	C41H74NO8P	"NA"	"NA"	"NA"	739.5152053	[M+H]+	740.5224813000001
PC(33:3)	C41H76NO8P	"NA"	"NA"	"NA"	741.5308554	[M+H]+	742.5381314
PC(33:2)	C41H78NO8P	"NA"	"NA"	"NA"	743.5465055	[M+H]+	744.5537815
PC(33:1)	C41H80NO8P	"NA"	"NA"	"NA"	745.5621555	[M+H]+	746.5694315000001
PC(33:0)	C41H82NO8P	"NA"	"NA"	"NA"	747.5778056	[M+H]+	748.5850816000001
PC(32:5)	C40H70NO8P	"NA"	"NA"	"NA"	723.4839052	[M+H]+	724.4911812
PC(32:4)	C40H72NO8P	"NA"	"NA"	"NA"	725.4995553	[M+H]+	726.5068313
PC(32:3)	C40H74NO8P	"NA"	"NA"	"NA"	727.5152053	[M+H]+	728.5224813000001
PC(32:2)	C40H76NO8P	"NA"	"NA"	"NA"	729.5308554	[M+H]+	730.5381314
PC(32:1)	C40H78NO8P	"NA"	"NA"	"NA"	731.5465055	[M+H]+	732.5537815
PC(32:0)	C40H80NO8P	"NA"	"NA"	"NA"	733.5621555	[M+H]+	734.5694315000001
PC(31:1)	C39H76NO8P	"NA"	"NA"	"NA"	717.5308554	[M+H]+	718.5381314
PC(31:0)	C39H78NO8P	"NA"	"NA"	"NA"	719.5465055	[M+H]+	720.5537815
PC(31:4)	C39H70NO8P	"NA"	"NA"	"NA"	711.4839052	[M+H]+	712.4911812
PC(31:3)	C39H72NO8P	"NA"	"NA"	"NA"	713.4995553	[M+H]+	714.5068313
PC(31:2)	C39H74NO8P	"NA"	"NA"	"NA"	715.5152053	[M+H]+	716.5224813000001
PC(30:4)	C38H68NO8P	"NA"	"NA"	"NA"	697.4682552	[M+H]+	698.4755312000001
PC(30:3)	C38H70NO8P	"NA"	"NA"	"NA"	699.4839052	[M+H]+	700.4911812
PC(30:2)	C38H72NO8P	"NA"	"NA"	"NA"	701.4995553	[M+H]+	702.5068313
PC(30:1)	C38H74NO8P	"NA"	"NA"	"NA"	703.5152053	[M+H]+	704.5224813000001
PC(30:0)	C38H76NO8P	"NA"	"NA"	"NA"	705.5308554	[M+H]+	706.5381314
PC(29:1)	C37H72NO8P	"NA"	"NA"	"NA"	689.4995553	[M+H]+	690.5068313
PC(29:0)	C37H74NO8P	"NA"	"NA"	"NA"	691.5152053	[M+H]+	692.5224813000001
PC(28:1)	C36H70NO8P	"NA"	"NA"	"NA"	675.4839052	[M+H]+	676.4911812
PC(28:0)	C36H72NO8P	"NA"	"NA"	"NA"	677.4995553	[M+H]+	678.5068313
PC(27:0)	C35H70NO8P	"NA"	"NA"	"NA"	663.4839052	[M+H]+	664.4911812
PC(26:0)	C34H68NO8P	"NA"	"NA"	"NA"	649.4682552	[M+H]+	650.4755312000001
PC(25:0)	C33H66NO8P	"NA"	"NA"	"NA"	635.4526051	[M+H]+	636.4598811000001
PC(24:0)	C32H64NO8P	"NA"	"NA"	"NA"	621.436955	[M+H]+	622.4442310000001
PC(22:0)	C30H62NO7P	"NA"	"NA"	"NA"	579.4263903	[M+H]+	580.4336663
PC(20:5)	C28H48NO7P	"NA"	"NA"	"NA"	541.3168399	[M+H]+	542.3241159
PC(20:4)	C28H50NO7P	"NA"	"NA"	"NA"	543.33249	[M+H]+	544.339766
PC(20:3)	C28H52NO7P	"NA"	"NA"	"NA"	545.34814	[M+H]+	546.355416
PC(20:2)	C28H54NO7P	"NA"	"NA"	"NA"	547.3637901	[M+H]+	548.3710661
PC(20:1)	C28H56NO7P	"NA"	"NA"	"NA"	549.3794401	[M+H]+	550.3867161000001
PC(20:0)	C28H58NO7P	"NA"	"NA"	"NA"	551.3950902	[M+H]+	552.4023662000001
PC(19:0)	C27H56NO7P	"NA"	"NA"	"NA"	537.3794401	[M+H]+	538.3867161000001
PC(19:1)	C27H54NO7P	"NA"	"NA"	"NA"	535.3637901	[M+H]+	536.3710661
PC(18:4)	C26H46NO7P	"NA"	"NA"	"NA"	515.3011898	[M+H]+	516.3084658
PC(18:3)	C26H48NO7P	"NA"	"NA"	"NA"	517.3168399	[M+H]+	518.3241159
PC(18:2)	C26H50NO7P	"NA"	"NA"	"NA"	519.33249	[M+H]+	520.339766
PC(18:1)	C26H52NO7P	"NA"	"NA"	"NA"	521.34814	[M+H]+	522.355416
